,body
1241,"You removed zomato,swiggy and other food partner :( from the skills."
1242,Good thing
1243,Some time is didnt work ....
1244,Not clear give accurate answer...Many time repeat things I think that's not a right things
1245,"My experience with Alexa us really good. My mum and dad loves directing Alexa and listens to their favourite music. It's a worth buy ..Also if you have smart appliances in your home, it really comes handy.."
1246,Please incorporate an upload feature in Echo dot to upload our own audio files on amazon cloud so as to listen to our own music without Bluetooth dependency on the mobile device.
1247,Voice recognition not good sometimes
1248,Sound quality is very bad please improve otherwise good product
1249,FunVoice operated  player..
1250,Most of time getting irritated due to voice not recognized sure people will get BP and heart attack due to this wrost
1251,Only issue is that while playing any music Alexa doesnt respond to the any commands
1252,Good
1253,I bought for my kids. They really liked it. Super sound quality & voice recognition. My kids using Echo dot in their education doubts.
1254,Excellent member of our sweet home
1255,Very good product
1256,"Alexa has no loyalty, who ever asks, she responds. No voice recognition. Sound quality is excellent. Mainly depends on Hungama for songs."
1257,"Very nice, some more skill required for Hindi language.Hope Amazon will do it."
1258,Good product
1259,"Echo has made our home smart, particularly so when your family has added a newest member...my grand daughter who is 1 year plus. She sleeps only when echo dot sings rhymes for her."
1260,"साउंड ठीक है, बिल्कुल धीमें आवाज में भी उसी तरह जबाब देता है, फुसफुसाहट की तरह"
1261,"Very good product and features. However, needs to improved for online search.."
1262,Very goodValue of moneySimple
1263,The voice recognition is not working properly and some things she also don't know and some time she will not answer only
1264,the sound is very very average. no use buying this entry level product
1265,It's is good as per the price but sometimes it doesn't understand.
1266,Product run only once connected with electric supply..... No batteries is not Comferrtable for me in remote areas......
1267,Value for money
1268,Itam note received the bay customer
1269,"Search is not good, needs yo improve search capabilities, other wise its okay."
1270,Slow Network access both in 5ghz & 2.4 ghz.Amazon does not replaced  within scheduled replacement window. Very bad experience.
1271,"You’re gonna love it,I am becoming more lazy day by day"
1272,Everything is very good.
1273,The Best product by Amazon
1274,Not as expected
1275,"The media could not be loaded.
                



 It's awesome"
1276,"Good product, good sound, integration etc."
1277,Defenetly should buy this product.
1278,Sound quality is awesome but lacks bass as it's a compact version!!!So if are a bass lover either buy the echo or you can connect your Bluetooth speaker to it!!!
1279,Good product for Bluetooth speaker but alexa assistant software need to improve and it recognise in correct translation if we not say right translation it say I don't no but overall it a good product
1280,Gd
1281,Product is worthy at this price but night lite and flash lite is not working
1282,It has very good music quality....... Very updated from the last generation...... I would highly recommend it...... Only con is that it is not better in gathering info than google home.....
1283,Good
1284,Good speaker driver for light music.
1285,Too small as imagined.
1286,sorry not satisfied
1287,Very nive device and sound quality is too good and the price rnage in which i got makes it very wirth. During great indian festival i got it only for 1999 very great deal
1288,"Voice recognition is too bad, alexa didn't answering  properly. Where I go for repair it."
1289,It's very useful for to connect all your smart devices and easy to use with voice commands.Such a nice product.
1290,Unable to connect with Bluetooth its shows that device only searching
1291,Product is not working now after 4 months
